# T408 — 판매 코인 시간축(클론 · 540×960 · 정적 바닥 = 마지막 프레임) ↔ 정본 표 CoinSellCurveUi.json · 판정 띠 bot(시트 · 클론 경계 0.552H ↔ 정본 0.562H) · 정본 딴 판 프레임 3장 뺌
#   ms  실제ms  total    top    mid    bot  라벨   코인  최고%H | 정본 total   top   mid   bot   (최고%H = 그 프레임에서 가장 높이 뜬 금빛 행 · 100 = 못 떴다 · T441 2회차)
   40     77    525      0      0    525     0    525   71.8 |   1004    17   594   393
  200    215   1559      0      0   1559     0   1559   67.4 |   5228    25  3762  1441
  420    433   1858      0      0   1858     0   1858   66.9 |   5562    23  3613  1926
  560    606   2162      0      0   2162     0   2162   66.1 |   5189    21  4066  1102
  620    725   1905      0      0   1905   336   1569   68.5 |   2646    20   321  2305
  700    725   1905      0      0   1905   336   1569   68.5 |   2249    15   425  1809
  780    914   1170      0      0   1170   522    648   77.8 |   3024    21   548  2455
  860    914   1170      0      0   1170   522    648   77.8 |   6214    21  3450  2743
  940   1125   1282      0      0   1282  1004    278   79.1 |   6500    21  5045  1434
 1000   1125   1282      0      0   1282  1004    278   79.1 |   1415    21    88  1306
 1020   1125   1282      0      0   1282  1004    278   79.1 |   1449    21   150  1278
 1120   1125   1282      0      0   1282  1004    278   79.1 |   1644    21   366  1257
 1250   1430   1312      0      0   1312   983    329   78.6 |   1433    19   170  1244
 1300   1430   1312      0      0   1312   983    329   78.6 |   1343     1    94  1248
 1600   1614   1317      0      0   1317   991    326   78.3 |   1377     1   125  1251
 1700   1733   1316      0      0   1316   978    338   78.2 |   1374     0   125  1249
 1900   1919   1318      0      0   1318   986    332   77.9 |   1374     1   119  1254
 2200   2207   1323      0      0   1323   720    603   77.5 |   1300     3    74  1223
 2500   2530    515      0      0    515     0    515   77.5 |    301    16   191    94
 2700   2718      0      0      0      0     0      0  100.0 |     54     0    54     0
 2800   2843      0      0      0      0     0      0  100.0 |    158    18   140     0
 3200   3208      0      0      0      0     0      0  100.0 |      0     0     0     0
# 클론 봉우리(bot) 실제 606ms(표 560) 2162 · 끝 실제 2718ms ↔ 정본 봉우리 860ms 2743 · 끝 2500ms
# 무게중심(T441 5회차 · 표본 성김에 안 흔들린다): 클론 1088 ms(합 25795) ↔ 정본 988 ms(합 27012) — 봉우리 «시각» 이 런마다 튀는 것과 달리 이 수는 곡선 전체가 정한다.
# 표본 간격의 정체(T441 4회차): 한 장 찍는 값 평균 64 ms × 22 장 — 이 환경의 표본 간격은 이 값이 정한다. 정본 봉우리는 780→860→940ms 에서 2455→2743→1434 로 **80ms 폭**이라 표본이 그보다 성기면 봉우리를 스쳐 지나간다.
# 원점·포물선(T441 3회차): 모루 원점 77.8%H · rise 6.5~11.7%H → 꼭대기 66.1~71.3%H · 시트 윗선 55.2%H — 꼭대기 %H 가 시트 윗선보다 «크면» 무대 띠로 안 올라간다(= mid 0)
